 arcs[0].from = 1, arcs[0].to = 22, arcs[0].capacity = 10, arcs[0].cost = 0, arcs[0].flow = 0, arcs[0].mate = 152, 
 arcs[1].from = 1, arcs[1].to = 13, arcs[1].capacity = 20, arcs[1].cost = 0, arcs[1].flow = 0, arcs[1].mate = 153, 
 arcs[2].from = 2, arcs[2].to = 18, arcs[2].capacity = 5, arcs[2].cost = 0, arcs[2].flow = 0, arcs[2].mate = 154, 
 arcs[3].from = 2, arcs[3].to = 9, arcs[3].capacity = 15, arcs[3].cost = 0, arcs[3].flow = 0, arcs[3].mate = 155, 
 arcs[4].from = 2, arcs[4].to = 20, arcs[4].capacity = 5, arcs[4].cost = 0, arcs[4].flow = 0, arcs[4].mate = 156, 
 arcs[5].from = 3, arcs[5].to = 25, arcs[5].capacity = 8, arcs[5].cost = 0, arcs[5].flow = 0, arcs[5].mate = 157, 
 arcs[6].from = 4, arcs[6].to = 10, arcs[6].capacity = 12, arcs[6].cost = 0, arcs[6].flow = 0, arcs[6].mate = 158, 
 arcs[7].from = 6, arcs[7].to = 27, arcs[7].capacity = 10, arcs[7].cost = 0, arcs[7].flow = 0, arcs[7].mate = 159, 
 arcs[8].from = 6, arcs[8].to = 18, arcs[8].capacity = 20, arcs[8].cost = 0, arcs[8].flow = 0, arcs[8].mate = 160, 
 arcs[9].from = 7, arcs[9].to = 23, arcs[9].capacity = 5, arcs[9].cost = 0, arcs[9].flow = 0, arcs[9].mate = 161, 
 arcs[10].from = 7, arcs[10].to = 14, arcs[10].capacity = 15, arcs[10].cost = 0, arcs[10].flow = 0, arcs[10].mate = 162, 
 arcs[11].from = 7, arcs[11].to = 25, arcs[11].capacity = 5, arcs[11].cost = 0, arcs[11].flow = 0, arcs[11].mate = 163, 
 arcs[12].from = 8, arcs[12].to = 30, arcs[12].capacity = 8, arcs[12].cost = 0, arcs[12].flow = 0, arcs[12].mate = 164, 
 arcs[13].from = 9, arcs[13].to = 15, arcs[13].capacity = 12, arcs[13].cost = 0, arcs[13].flow = 0, arcs[13].mate = 165, 
 arcs[14].from = 11, arcs[14].to = 32, arcs[14].capacity = 10, arcs[14].cost = 0, arcs[14].flow = 0, arcs[14].mate = 166, 
 arcs[15].from = 11, arcs[15].to = 23, arcs[15].capacity = 20, arcs[15].cost = 0, arcs[15].flow = 0, arcs[15].mate = 167, 
